window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_109458	4.43	4.26	8.75	2.51	0.26	9.85	1.28	13.31	1.61
window_109504	1.25	1.97	3.96	1.87	0.03	3.77	1.2	2.27	1.93
window_109505	1.25	1.97	3.96	1.87	0.03	3.77	1.2	2.27	1.93
window_109506	10.72	1.71	3.55	1.49	2.47	3.04	1.81	5.75	3.03
window_109507	10.72	1.71	3.55	1.49	2.47	3.04	1.81	5.75	3.03
window_109508	0	0	0	0	0.01	0.14	0	0	7.14
window_109510	9.31	2.35	12.58	2.58	1.06	2.54	2.71	14.82	4.7
window_109961	4.39	0.93	5.32	2.15	0.04	2.32	1.11	5.8	2.35
window_109974	7.4	1.35	0.44	2.12	0	0.1	0.03	1.68	0.33
window_109976	11.39	7.17	16.9	3.56	0.05	2.37	0.95	11.81	4.94
window_109977	11.39	7.17	16.9	3.56	0.05	2.37	0.95	11.81	4.94
window_109980	3.45	0.64	2.62	1.01	0	1.52	1.75	3.37	1.63
window_109994	0	0.09	0	0	0	0	0.09	0.03	0.01
window_110031	5.69	1.46	6.33	1.39	0.01	1.35	0.97	7.32	2.65
window_110032	20.65	8.89	21.11	5.82	0.57	7.54	7.78	23.96	12.55
window_110034	0.2	0.3	0.51	0.49	3.62	0.81	0.58	1.56	0.33
window_110048	41.6	4.28	29.16	15.92	1.26	21.93	6.26	62.75	17.68
window_110049	41.6	4.28	29.16	15.92	1.26	21.93	6.26	62.75	17.68
window_110138	1.04	0.21	0.17	0	0	0	0	0	0.01
window_110173	2.1	0.86	2.65	1.28	0.01	1.94	0.62	5.26	1.04
window_110187	2.18	0.81	1.6	2.23	0	1.3	0.48	1.23	2.02
window_110200	29.04	4.72	0.97	0	0.01	3.75	0.1	0.83	0.23
window_110217	1.37	1.02	2.61	0.13	0	0.19	0.09	2.24	0.03
window_110243	0.19	0.47	1.6	0.59	0.02	0.12	0.46	2.51	0.14
window_110265	16.17	3.8	13.14	3.73	0.04	8.07	3.33	9.71	7.45
window_110266	16.17	3.8	13.14	3.73	0.04	8.07	3.33	9.71	7.45
window_110351	5.14	3.06	5.34	5.84	0.04	3.53	2.81	8.87	5.3
window_110371	4.03	1.63	1.88	2.04	0.03	2.81	0.82	3.23	1.65
window_110382	0.5	10.28	15.71	2.52	0.09	3.82	236.75	0.14	132.4
window_110393	0.05	0	0.05	0	2.29	0.02	0.25	0.09	0.05
window_110394	0.05	0	0.05	0	2.29	0.02	0.25	0.09	0.05
window_110408	0.02	0.12	0	0.3	6.15	0.02	31.52	0.02	1.1
window_110470	0.04	0	0.04	0	0	0.62	0.26	0	0.02
window_110694	11.61	6.64	41.63	32.71	0.02	7.46	9.09	130.24	6.13
window_110729	0.53	0	0.01	0	0.01	0	0	0.49	0.09
window_110815	0.01	0	0	0	0	1.66	0	0	0
window_110829	0.03	0	0.01	0	0	0	0.06	0.12	0
window_110844	0	0.06	0.14	0	0	0	0.15	0.03	0
window_110990	4.71	4.37	4.6	8.51	0.57	2.71	32.65	4.44	8.12
window_111000	0.37	0.1	0.43	0	23.69	0.67	1.09	0.4	0.81
window_111036	9.4	21.64	12.37	7.08	0.09	14.62	2.38	8.26	9.63
window_111135	10.38	3.7	19.89	3.52	0.09	2.93	1.72	9.26	3.8
window_111207	2.22	2.07	1.31	15.5	0.04	6.49	1.11	4.04	2.82
window_111228	0	0	0.31	0.21	0	0.31	0.36	1.36	0.51
window_111291	0.25	0	0.48	0	0	0.03	0.12	2.19	0.05
window_111301	40.21	42.59	23.92	102.06	0.56	27.44	36.93	21.4	34.22
window_111304	168.08	330.33	86.14	529.66	2.44	154.56	136.46	95.36	189.81
window_111312	1.15	4.3	4.85	22.67	0.01	10.4	4.83	64.9	4.4
window_111320	0.01	0.5	0.19	3.41	1059.31	0.01	36.03	0.06	3.26
window_111326	70.49	51.16	38.43	15.37	0.1	3.4	3.08	35.68	31.04
window_111519	9.39	21.33	11.85	16.3	0.14	13.34	16.83	12.27	15.59
window_111521	2.45	0.84	1.57	0.51	0.16	0.35	0.35	4.45	0.56
window_111522	2.45	0.84	1.57	0.51	0.16	0.35	0.35	4.45	0.56
window_111523	0.71	1.46	0.14	0.39	0	2.32	0	0.02	0.14
window_111555	71.03	25.78	35.58	100.5	0.3	28.55	20.95	56.52	79.75
window_111597	46.49	0.84	4.45	0.42	0.01	1.95	0.32	4.54	37.26
window_111697	5.82	11.76	37.23	13.73	0.08	11.57	3.58	23.32	23.92
window_111733	6.79	2.81	11.04	1.54	0.01	0.22	1.3	17.29	1.88
window_111734	6.79	2.81	11.04	1.54	0.01	0.22	1.3	17.29	1.88
window_111745	0.33	0	0.19	0.07	0.02	0.05	0.16	0.75	0.07
window_111749	0.34	0.14	0.46	0.09	0	0.27	0.35	0.28	0.12
window_111773	0.32	0.09	0.39	0	0	0	0.04	0.37	0
window_111792	0.04	0	0.01	0	0.03	0.01	0.03	0.19	0.01
window_111793	6.41	2.96	9.08	2.41	0.02	2.15	0.89	8.18	1.63
window_111858	129.27	258.05	78.47	547.27	0.12	83.86	80.27	76.71	176.6
window_111869	59.91	74.74	48.94	189.43	0.13	40.54	36.59	58.27	38.36
window_111876	15.87	6.58	14.84	7.06	0.07	4.61	5.35	13.91	31.61
window_111951	0	0	0	0	0	0.17	0	0.03	10.15
window_112011	4.24	9.9	5	1.23	0.03	11.5	1.94	0.78	3.98
window_112012	4.24	9.9	5	1.23	0.03	11.5	1.94	0.78	3.98
window_112013	4.24	9.9	5	1.23	0.03	11.5	1.94	0.78	3.98
window_112019	0	0	0	0.92	0	32.7	0.27	0	0
window_112101	6.49	10.97	2.62	0.3	0.05	0.04	1.75	0.47	0.04
window_112102	6.49	10.97	2.62	0.3	0.05	0.04	1.75	0.47	0.04
window_112140	2.43	0.23	0.48	0	0.02	0.01	0	0	0
window_112155	4.18	0.95	6.67	0.54	0.21	0.87	0.66	4.22	0.5
window_112286	0.01	0	0	0	0	0.63	0	0	0
window_112316	0	0.21	0.62	0.49	0	0.44	0.08	0.1	0.03
window_112325	2.75	4.06	2.95	3.94	0.22	1.59	2.79	8.91	3.49
window_112335	19.22	0	0.09	0	0.04	1.8	0.37	18.53	0.03
window_112452	0	0	0.05	0	0	0	0	0	0
window_112453	0	0	0.01	0	0	0.01	0	0	0
window_112461	7.73	17.61	7.5	33.19	0.08	7.27	5.28	11.11	95
window_112497	1.78	5.2	3.21	3.02	0.04	1.21	0.57	1.01	14.88
window_112521	0.03	3.12	30.19	6.83	0	9.4	1.82	0.13	7.26
window_112527	5.525	3.745	5.47	4.04	0.055	8.145	2.475	8.57	4.485
window_112528	0.85	3.91	3.57	3.07	0.04	0.66	1.92	4.28	1.91
window_112630	0.12	0.02	0.02	0	0.01	0.05	0.06	0.22	0.02
window_112631	0.12	0.02	0.02	0	0.01	0.05	0.06	0.22	0.02
window_112645	1.39	1.35	0.66	0.99	0.06	0.33	4.7	1.09	1.32
window_112646	1.39	1.35	0.66	0.99	0.06	0.33	4.7	1.09	1.32
window_112647	1.39	1.35	0.66	0.99	0.06	0.33	4.7	1.09	1.32
window_112687	58.17	39.96	11.23	63.2	0.08	27.36	8.83	6.98	98.74
window_112692	0.14	0.64	0.1	0.76	0.49	2.21	82.61	0.09	2.12
window_112693	0.14	0.64	0.1	0.76	0.49	2.21	82.61	0.09	2.12
window_112695	2.54	1.36	1.07	3.06	0.02	5.45	0.36	2.77	3.44
window_112717	0.27	0.05	0	0.07	0	0.01	0.08	0.32	0.03
window_112723	1.32	0	0.01	0	0	0	0	0.22	0
window_112729	18.92	15.87	20.17	15.85	5.96	19.43	25.52	19.58	23.25
window_112799	0	0.14	1.79	0.55	0	2.41	0.05	0.14	0
window_112816	1.21	0.05	0.1	0	0	0.37	0.17	2.59	0.07
window_112817	1.21	0.05	0.1	0	0	0.37	0.17	2.59	0.07
window_112875	0.24	4.34	7.03	0.53	0.01	2.54	0.97	0.08	1.33
window_112884	0.24	0.46	2.38	0	0	1.56	0.13	1.83	0.21
window_112885	0.24	0.46	2.38	0	0	1.56	0.13	1.83	0.21
window_112920	4.9	1.7	7.05	1.15	0.06	3.28	2.18	7.53	2.1
window_112984	0.03	0.05	0.03	0	0.2	0.02	4.11	0.01	0.09
window_112990	0.11	0.45	0.96	0.29	0.54	0.98	0.04	0.73	0.19
window_112992	17.47	6.62	18.625	7.08	0.465	20.035	15.85	16.17	15.82
window_113137	0.87	0	0.02	0	0	0.01	0.01	0.22	0.02
window_113138	0.87	0	0.02	0	0	0.01	0.01	0.22	0.02
window_113182	96.26	23.28	103.86	22.28	5.16	86.96	22.3	113.46	77.49
window_113183	96.26	23.28	103.86	22.28	5.16	86.96	22.3	113.46	77.49
window_113393	4.05	0.89	2.43	0	0.05	2.88	0.37	4.33	1.84
window_113449	2.44	1.56	5.53	0.48	0.03	0.52	0.32	6.17	1.41
window_113454	5.01	0.24	1.96	0	0.02	0.54	0.3	3.52	4.22
window_113461	1.91	2.67	1.98	2.51	0.02	3.47	3.25	1.76	3.26
window_113476	0.05	0.26	0.42	0.77	0	1.41	0.65	2.76	0.26
window_113495	5.33	2.92	7.01	2.85	0.59	5.7	3.68	5.84	3.12
window_113496	5.33	2.92	7.01	2.85	0.59	5.7	3.68	5.84	3.12
window_113501	0.83	0.16	2.23	1.02	0.43	1.59	0.92	1.34	0.8
window_113522	0.36	0	0.43	0.23	0	0.01	0.16	0.67	0.04
window_113565	0.81	0	0	0	0	0	0	0.04	0
window_113597	0.14	0.16	0.13	0	0	0.26	0.02	0.77	0.1
window_113716	0	0	0	0	0.06	0.01	0	1.02	0
window_113742	0	0.43	2.86	1.23	83.03	0.01	113.72	0.01	5.73
window_113825	3.04	1.53	3.08	1.01	0.32	3.86	0.99	3.08	2.02
window_113879	2.42	0.39	0.42	0	0	0	0	0.02	0.04
window_114371	16.55	0.54	2.55	0.68	0	24.97	0.04	0.15	0.01
window_114851	9.98	0.6	2.99	1.48	0.05	4.17	2.72	38.81	1.42
window_114860	22.36	184.81	72.66	131.91	0.03	13.34	36.1	17.8	39.07
window_114926	21.03	14.82	2.64	9.94	0.01	7.13	7.96	19.93	6.77
window_114932	0.96	1.7	2.86	3.03	0	1.2	0.83	1.38	1.61
window_114933	0.96	1.7	2.86	3.03	0	1.2	0.83	1.38	1.61
window_114950	1.74	1.57	2.29	1.18	0.61	0.94	0.87	4.34	0.97
window_115023	8.54	1.15	2.73	0.88	0.02	0.8	1.29	6.28	0.93
window_115034	7.8	0.82	1.53	0.19	0.04	0.44	1.34	4	1.06
window_115036	18.52	10.09	12.25	11.67	0.01	2.41	0.95	6.19	4.18
window_115045	1.93	0.84	4.53	3.17	0.06	7.17	2.03	3.14	1.37
window_115053	1.85	1.98	1.85	1.35	0.02	0.49	0.34	3.53	1.8
window_115066	3.48	5.015	4.33	3.7	0.235	5.925	4.385	4.47	3.18
window_115067	6.92	10.03	8.64	7.19	0.44	11.84	8.71	8.91	6.27
window_115068	6.92	10.03	8.64	7.19	0.44	11.84	8.71	8.91	6.27
window_115083	6.41	1.48	5.16	0.4	0.03	5.12	2.11	5.34	2.15
window_115084	9.13	6.43	21.55	11.85	0.12	17.88	7.03	15.77	10.65
window_115096	0.12	0.21	0.39	0.24	0.19	0.09	0.19	0.78	0.08
window_115099	0	0.08	0.43	0.42	1.87	0.08	0.13	0.09	0.04
window_115198	42.68	117.2	28.9	29.26	0.17	3.42	4.11	69.94	123.25
window_115199	42.68	117.2	28.9	29.26	0.17	3.42	4.11	69.94	123.25
window_115352	7.64	1.84	7.51	2.05	0.05	2.87	1.21	10.21	2.77
window_115376	34.2	21.82	29.55	40.77	0.09	26.54	19.45	36.64	36.26
window_115377	18.07	10.72	4.73	11.64	0.02	9.42	7.83	42.16	27.24
window_115436	4.77	0.1	3.29	1.57	0	2.96	0	0.59	5.84
window_115457	0.14	0.24	1.47	0	0	0.06	0.13	0.44	0.1
window_115501	7.97	14.05	1.23	8.97	0.04	2.79	2.2	2.48	3.17
window_115522	0.42	1.44	0.24	0.66	0.01	1.42	0.49	0.34	0.45
window_115566	24.73	102.47	55.13	136.15	0.1	44.19	79.02	57.97	85.35
window_115587	0.03	0.45	4.56	1.63	0	78.66	0.35	0	0.13
window_115603	12.14	3.21	5.03	1.53	0.01	4.01	0.98	5.57	7.21
window_115604	8.7	11.04	24.66	9.06	2.37	6.43	18.81	19.53	10.55
window_115605	8.7	11.04	24.66	9.06	2.37	6.43	18.81	19.53	10.55
window_115739	0	0	0.27	0	0.16	0.16	0	0.1	0.06
window_115740	0.22	0	0.49	0.87	0.35	0.43	3.11	0.34	0.35
window_115755	4.97	5.38	7.18	3.49	0.41	5.46	10.73	9.21	5.09
window_115759	0.01	0.11	0.13	0.06	7.87	0	22.04	0.02	0.36
window_115760	0.01	0.11	0.13	0.06	7.87	0	22.04	0.02	0.36
window_115761	5.22	3.09	5.16	1.97	0.06	5.53	2.12	4.31	2.82
window_115762	5.22	3.09	5.16	1.97	0.06	5.53	2.12	4.31	2.82
window_115777	0.55	0.9	1.86	1.49	0	3.17	0.6	2.1	1.14
window_115803	0.895	0.96	0.96	1.31	0.05	1.155	0.52	7.045	0.22
window_115805	246.55	52.82	198.31	105.83	3.09	114.92	29.97	208.37	57.09
window_115834	2.66	0.61	0.83	1.87	0	0.03	0.08	0.54	2.58
window_115958	0.53	0.76	1.54	0	0	0.03	0.06	0.95	0.36
window_116072	0	0	0	0	0	0	0	0	0
window_116131	0	21.79	27.84	0.79	0.19	0.1	0.09	0	4.16
window_116172	15.7	5.82	11.06	6.7	3.36	9.49	7.77	12.65	8.85
window_116184	30.64	9.51	35.27	9.32	0.16	19.08	2.47	27.24	17.53
window_116185	7.24	7.93	15.71	2.3	0.56	1.82	4.5	8.25	8.41
window_116186	7.24	7.93	15.71	2.3	0.56	1.82	4.5	8.25	8.41
window_116195	1.69	0.8	15.67	2.24	0.87	1.86	0.82	1.69	3.72
window_116265	3.69	0.54	1.76	0.72	25.55	5.94	26.71	5.14	1.92
window_116339	1.57	1.69	7.4	1.33	0.04	0.62	1.33	4.46	2.29
window_116340	1.57	1.69	7.4	1.33	0.04	0.62	1.33	4.46	2.29
window_116341	0.61	2.31	5.14	1.29	7.91	3.12	2.11	1.64	4.04
window_116540	1.68	2.05	2.31	2.62	0.01	0.37	0.86	19.77	0.83
window_116541	1.68	2.05	2.31	2.62	0.01	0.37	0.86	19.77	0.83
window_116542	1.68	2.05	2.31	2.62	0.01	0.37	0.86	19.77	0.83
window_116543	1.68	2.05	2.31	2.62	0.01	0.37	0.86	19.77	0.83
window_116588	1.15	1.38	9.09	0.8	0.06	0.33	1.35	1.28	3.01
window_116609	2.69	1.62	5.96	1.99	0.48	2.42	2.51	3.25	2.56
window_116682	105.88	158.65	88.05	358.6	1.02	94.58	129.16	79.09	136.71
window_116711	0.03	0.45	3.66	2.25	0	1.32	0.12	0.77	0.18
window_116719	1.29	0.26	2.74	0.33	0.03	1.24	0.13	3.27	0.36
window_116721	48.49	43.97	33.59	38.54	0.16	22.82	14.04	41.88	36.27
window_116739	0.22	0	1.55	0.41	0.02	0.57	0.5	2.86	0.26
window_116812	0.51	0.7	2.28	1.33	0.49	0.81	1.33	2.21	2.32
window_116836	3.48	0.37	3.86	0.57	0.02	0.57	0.57	7.53	0.79
window_116859	2.23	0	0	0	0	0.94	0.41	3.67	0
window_116863	3.93	1.36	5.28	1.64	0.09	1.09	0.93	8.77	1.19
window_116886	2.73	3.56	5.06	3.27	0.09	8.81	3	4.49	4.46
window_116887	2.73	3.56	5.06	3.27	0.09	8.81	3	4.49	4.46
window_116888	2.73	3.56	5.06	3.27	0.09	8.81	3	4.49	4.46
window_116889	2.73	3.56	5.06	3.27	0.09	8.81	3	4.49	4.46
window_116894	0.02	0	0	0	0	0.04	0.14	1.29	0.01
window_116913	1.94	3.32	4.02	1.34	0.18	5.08	1.84	4.36	3.55
window_116914	1.94	3.32	4.02	1.34	0.18	5.08	1.84	4.36	3.55
window_116915	1.94	3.32	4.02	1.34	0.18	5.08	1.84	4.36	3.55
window_116916	1.94	3.32	4.02	1.34	0.18	5.08	1.84	4.36	3.55
window_116921	0.06	0	0	0	0	0	0	0.22	0
window_116936	93.66	66.28	48.28	200.68	0.53	153.12	9.94	64.48	77.27
window_116937	93.66	66.28	48.28	200.68	0.53	153.12	9.94	64.48	77.27
window_116941	10.69	0.97	4.46	0.49	0.26	4.27	1.03	8.15	1.4
window_116968	1.68	1.62	3.16	0.67	0.18	1.33	1.03	3.7	1.26
window_116969	1.68	1.62	3.16	0.67	0.18	1.33	1.03	3.7	1.26
window_117015	188.77	41.71	180.52	90.03	12.73	75.46	130.9	187.12	163.96
window_117022	6.71	2.23	3.85	1.43	0.02	4.39	1.04	6.07	6.6
window_117027	8.35	3.29	13.72	2.42	0.51	2.54	3.53	13.88	3.9
window_117028	8.35	3.29	13.72	2.42	0.51	2.54	3.53	13.88	3.9
window_117029	8.35	3.29	13.72	2.42	0.51	2.54	3.53	13.88	3.9
window_117031	16.43	5.99	12.27	6.47	0.03	13.81	5.36	15.3	6.93
window_117074	4.28	2.06	8.52	1.55	1.02	1.76	12.02	3.88	3.26
window_117095	26.96	11.83	45.29	6.84	0.11	17.87	6.84	28.74	20.34
window_117105	4.78	12.5	10.81	4.97	1.1	20.23	9.5	8.76	7.93
window_117106	4.78	12.5	10.81	4.97	1.1	20.23	9.5	8.76	7.93
window_117127	5.27	0.65	4.5	0.13	0.04	1.37	0.23	3.84	1.25
window_117134	11.14	19.22	23.93	16.19	1.69	28.08	13.12	9.55	12.79
window_117135	11.14	19.22	23.93	16.19	1.69	28.08	13.12	9.55	12.79
window_117138	15.98	4.83	1.99	4.14	0	1.56	0.32	8.1	3.02
window_117184	4.2	0.63	0.12	0.4	0	0.71	0	1.87	0.1
window_117294	1.49	0.16	0.28	0.45	0	0.63	0.71	3.86	1.4
window_117302	1.07	0.8	1.26	0.76	0.02	1.56	0.31	2.12	0.63
window_117303	1.07	0.8	1.26	0.76	0.02	1.56	0.31	2.12	0.63
window_117304	1.07	0.8	1.26	0.76	0.02	1.56	0.31	2.12	0.63
window_117340	58.36	28.23	75.48	9.51	0.1	15.02	4.32	37.42	16.59
window_117344	13.1	4.83	12.48	3.36	0.32	8.83	5.45	10.61	8.97
window_117345	377.49	172.22	440.77	26.64	0.63	1.44	29.46	617.65	86.3
window_117396	2.7	2.89	4.02	3	0.01	1.73	2.07	9.99	2.3
window_117397	2.7	2.89	4.02	3	0.01	1.73	2.07	9.99	2.3
window_117431	0.6	1.08	1.82	1.41	0.06	1.62	0.19	1.6	1.15
window_117438	11.25	4.39	6.93	4.9	0.03	7.12	2.22	12.2	6.39
window_117537	11.06	3.01	14.97	1.51	0.15	2.72	2.4	18.74	5.71
window_117560	11.64	1.72	3.38	0.29	0.02	0.45	0.41	11.25	1.16
window_117562	2.78	4.23	7.8	3.49	0.07	4.67	1.46	6.4	4.97
window_117698	1.95	224	156.92	522.23	0.67	129.38	48.74	35.37	658.8
window_117717	9.27	16.86	14.06	11.65	2.66	17.2	18.71	14.31	16.01
window_117718	9.27	16.86	14.06	11.65	2.66	17.2	18.71	14.31	16.01
window_117759	0.81	1	11.12	7.96	0.12	12.05	0.73	4.1	3.27
window_117782	3.22	3.01	6.2	3.32	0.03	4.03	0.69	5.37	3.37
window_117839	0.63	1.96	1.27	1.03	0	1.44	0.24	0.08	0.75
window_117844	7.28	3.96	17.72	0.36	0	0.58	0.45	4.54	2.2
window_117845	7.28	3.96	17.72	0.36	0	0.58	0.45	4.54	2.2
window_117860	9.82	2.5	10.73	3.58	0.11	7.97	4.26	7.83	7.34
window_117871	3.67	0.61	1.76	0.9	0.02	3.53	0.9	3.69	1.97
window_117876	22.43	3.82	3.08	6.42	60.05	29.67	91.89	23.66	11.85
window_117941	94.62	38.3	64.18	116.84	4.97	68.84	45.68	88.42	74.16
window_117943	9.04	7.24	9.27	4.26	0.27	9.78	3.97	11.05	5.69
window_117984	58.38	22.21	47.86	14.13	0.06	13.45	4.74	25.35	13.36
window_118016	36.37	91.16	25.37	19.15	0.16	13.39	15.88	24.18	64.73
window_118017	36.37	91.16	25.37	19.15	0.16	13.39	15.88	24.18	64.73
window_118032	19.34	114.77	93.72	36.98	0.04	8.32	12.73	79.8	23.18
window_118033	19.34	114.77	93.72	36.98	0.04	8.32	12.73	79.8	23.18
window_118050	35.44	30.34	38.71	7.53	0.06	7.74	0.65	6.37	19.26
window_118134	0.49	0.22	0.09	0.15	36.17	0.05	2.45	0.46	0.8
window_118243	676.22	1018.83	284.65	554.13	0.38	253.84	32.55	471.36	1055.43
window_118244	7.38	2.81	7.28	2.57	0.03	3.9	0.74	8.42	4.65
window_118245	7.38	2.81	7.28	2.57	0.03	3.9	0.74	8.42	4.65
window_118248	22.1	5.38	15.61	6.77	1.04	7.07	2.02	22.67	10.59
window_118249	22.1	5.38	15.61	6.77	1.04	7.07	2.02	22.67	10.59
window_118254	0.13	0.04	0.25	0.48	1.52	0.05	0.14	0.33	0.06
window_118282	4.36	4.41	1.51	2.95	0.02	4.22	0.13	1.93	3.02
window_118315	2.39	0.17	0.46	0	0.06	0.83	0.19	0.3	0.12
window_118316	0	0.06	0	0	0.07	0	2.14	0.02	0.15
window_118324	20.22	18.6	14.47	11.34	0.04	17.68	3.81	15.23	17.54
window_118328	10.58	4.55	4.8	0.65	0.12	0.38	0.8	13.24	4.29
window_118356	3.47	2.68	3.34	3.4	0.01	5.57	1.13	4.31	2.57
window_118373	0.29	0.03	0.38	0.23	0.01	0.25	0.02	0.32	0.19
window_118375	1.53	1.43	3.02	0.99	0.02	0.67	0.82	5.03	0.92
window_118441	25.03	0.61	3.89	0.56	0	0.01	0.13	7.65	0.33
window_118450	6.6	6.89	2.94	9.7	0	3.36	1.49	2.1	8.1
window_118481	2.68	0.59	2.47	0.76	0.01	2.22	0.19	4.36	1.13
window_118483	0.14	0	0.51	0	0.01	1.54	0.37	0.37	0.12
window_118515	5.1	3.36	8.72	3.92	0.03	2.88	4.08	7.98	3.04
window_118516	1.89	1.45	2.31	1.54	0.02	4.76	0.72	2.68	1.45
window_118568	11.49	5.14	3.55	4.05	0.13	11.98	5.62	62.21	4.49
window_118678	12.8	18.29	15.64	8.94	0.14	5.68	8.55	18.07	10.5
window_118680	2.82	1.76	2.18	2.96	0.01	3.16	0.11	2.64	2.24
window_118790	0.12	0.09	0.12	0	0	0.05	0	0.89	0
window_118831	1.76	3.68	1.36	2.44	0.03	2.97	4.08	1.66	1.62
window_118880	1.01	2.85	2.27	1.64	1.38	2.18	1.97	3.99	1.6
window_118881	1.01	2.85	2.27	1.64	1.38	2.18	1.97	3.99	1.6
window_118891	3.39	2.01	5.2	0.38	0.02	1.27	0.51	4.63	0.74
window_118892	3.39	2.01	5.2	0.38	0.02	1.27	0.51	4.63	0.74
window_118894	38.55	19.97	30.35	19.53	30.08	72.7	24.98	36.56	37.32
window_118925	13.49	2.81	13.84	4.03	0.08	3.65	2.3	21.85	3.25
window_118931	1.07	1.03	1.17	0.64	0	0.48	0.37	1.36	0.42
window_118932	1.07	1.03	1.17	0.64	0	0.48	0.37	1.36	0.42
window_118954	46.67	17.35	67.84	8.76	4.08	12.63	28.59	72.08	16.24
window_118960	9.84	2.3	10.98	1.53	0.03	0.72	0.61	4.66	2.67
window_119035	25.78	24.09	1.23	5.07	0.01	0.22	0.32	1.64	3.9
window_119036	25.78	24.09	1.23	5.07	0.01	0.22	0.32	1.64	3.9
window_119037	25.78	24.09	1.23	5.07	0.01	0.22	0.32	1.64	3.9
window_119057	2.38	7.25	5.77	5.01	0.35	6.43	3.43	7.37	4.83
window_119058	2.38	7.25	5.77	5.01	0.35	6.43	3.43	7.37	4.83
window_119080	7.78	1.29	6.98	0.66	0.04	4.68	0.15	0.79	6.91
window_119136	0.26	8.31	10.99	21.06	0	0.53	1.08	0.04	22.89
window_119202	0.04	0	0.08	0	0	0.06	0	0.02	0
window_119203	0.31	0.94	2.45	0.81	0	0.65	0.15	3.7	0.82
window_119210	2.19	1.38	2.44	1.63	0.43	2.8	5.21	3.55	2.77
window_119257	0.03	0.01	0.09	0	0.6	0.01	0.19	0.11	0.03
window_119258	6.97	7.25	6.92	5.78	0.26	7.67	1.77	21.09	34.98
window_119267	3.67	5.12	19	1.94	0.11	1.78	1.96	13.31	6.44
window_119270	0.42	0.13	0.54	0.54	0	0.59	0.21	0.67	0.17
window_119271	4.67	5.14	5.59	1.98	0.26	4.12	2.57	7.5	3.82
window_119272	4.67	5.14	5.59	1.98	0.26	4.12	2.57	7.5	3.82
window_119352	27.72	18.83	39.75	22.38	0.33	25.54	14.34	37.47	43.37
window_119394	0.33	0	0.09	0.22	0	2.55	0.04	0.04	0.35
window_119404	1.96	24.37	1.79	1.32	2.24	1.68	37.29	2.26	15.45
window_119405	1.96	24.37	1.79	1.32	2.24	1.68	37.29	2.26	15.45
window_119411	9.705	10.585	11.155	5.015	3.655	0.375	390.435	19.305	31.175
window_119412	13.27	14.96	19.89	1.54	0.03	0.06	0.82	17.53	2.96
window_119413	0.01	0.15	1.17	0.15	0.01	0.09	0.15	0.08	0.09
window_119414	0.01	0.15	1.17	0.15	0.01	0.09	0.15	0.08	0.09
window_119428	1.9	0.82	0.25	0.32	0	0.31	0	1.17	0.97
window_119662	7.5	2.96	1.62	3.72	0.01	1.33	0.85	8.41	1.6
window_119664	13.28	0.03	0.74	0.33	23.35	0.05	1.96	2.51	0.54
window_119665	13.28	0.03	0.74	0.33	23.35	0.05	1.96	2.51	0.54
window_119666	13.28	0.03	0.74	0.33	23.35	0.05	1.96	2.51	0.54
window_119830	102.33	1.4	13.49	4.33	0.01	1.67	6.09	42.98	7.96
window_119831	102.33	1.4	13.49	4.33	0.01	1.67	6.09	42.98	7.96
window_119939	0.73	0.15	0.88	0.14	0.02	0.41	0.02	0.93	0.11
window_120114	2.17	3.79	1.43	5.33	0	2.18	0.17	2.16	2.22
window_120126	3.34	0.86	4.85	0.68	0.12	2.68	1.44	5.09	1.52
window_120127	18.485	4.515	22.73	4.465	3.805	4.585	5.085	36.295	5.365
window_120365	19.83	0.25	1.03	2.12	0	3.2	2.37	21.97	1.99
window_120410	3.15	2.05	3.92	1.46	0.08	2.52	1.05	4.03	1.71
window_120411	3.15	2.05	3.92	1.46	0.08	2.52	1.05	4.03	1.71
window_120428	2.52	1.24	0.58	1.1	0.16	1.92	3.1	1.98	2.44
window_120506	0.06	0.06	1.88	0.33	0	0.82	0.43	14.21	1.26
window_120516	0.06	0	0.34	0	0	0.09	0.2	2.63	0.04
window_120521	14.03	2.63	14.5	2.38	0.05	2.11	2.39	17.15	3.21
window_120524	3.19	3.12	7.79	1.9	0.22	1.71	0.96	10.62	1.57
window_120526	0.4	0.07	0.74	0.15	0	0.48	0.03	1.37	0.17
window_120551	2.58	0.23	2.88	0	0.04	2.1	0.48	9.03	0.95
window_120567	0.89	0	0.67	0.12	0	3.73	0	0.9	0.27
window_120663	24.82	17.4	3.62	1.32	4.42	0.11	11.78	0.86	30.72
window_120722	1.73	0.97	2.65	0.64	0.05	0.88	0.4	2.13	1.1
window_120723	1.73	0.97	2.65	0.64	0.05	0.88	0.4	2.13	1.1
window_120764	9.1	1.13	6.78	1.31	0.14	3.65	0.97	10.69	2.12
window_120776	1.95	0.59	1.73	0.83	0.14	1.81	0.65	3.68	0.64
window_120978	0.62	0	0.01	0	0.14	0	0	0	0
window_121160	0.18	0.14	0	0.13	0	1.1	0.04	0	0
window_121168	0.12	0.99	0.17	1.17	3.79	0.51	120.24	0.99	3.58
window_121169	1.24	1.5	6.64	0.87	0.04	2.33	0.56	1.45	5.67
