window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_890	1.31	2.66	0.87	3.88	0.01	1.95	3.37	0.82	1.94
window_894	0.01	0.12	0.6	0.14	0	0.33	0.32	1.5	0.07
window_984	0.55	0	0	1.38	0	0.3	1.7	28.31	0.17
window_1003	0.11	0	0	0	0	0.13	0.7	3.11	0.21
window_1021	1.14	0	0.16	0	0	0.68	1.1	22.55	2.18
window_1044	0.03	0.02	0.11	0	0	0.05	0	0	0.01
window_1057	5.93	11.39	8.61	6.42	0.01	5.39	2.82	8.45	4.91
window_1063	11.8	4.36	16.76	5.88	0.09	5.14	2.85	16.71	5.06
window_1105	0.03	0.35	2	1.78	0.01	0.5	0.13	1.2	0.07
window_1111	5.4	3.27	5.96	1.38	0.03	2.37	0.39	4.44	1.54
window_1112	5.4	3.27	5.96	1.38	0.03	2.37	0.39	4.44	1.54
window_1114	8.9	12.89	5.09	8.68	0.6	9.04	10.42	13.77	6.32
window_1122	0.39	0.28	3.51	0.51	0.02	1.2	0.35	0.49	0.37
window_1248	0.09	0.62	0.46	0	0.18	0.08	8.03	0.33	3.13
window_1250	0.09	0.62	0.46	0	0.18	0.08	8.03	0.33	3.13
window_1251	0.09	0.62	0.46	0	0.18	0.08	8.03	0.33	3.13
window_1254	4.71	3.69	4.43	0.37	0.02	0.01	0.18	0.3	2.02
window_1257	0.04	0.12	0.14	0.17	0	0.19	0.02	0	0.44
window_1260	0.01	0.08	0.44	0	0	0	0.5	2.24	0.29
window_1279	1.57	7.18	21.68	15.98	0	8.36	0.56	3.1	3.15
window_1317	7.98	2.27	1.03	6.11	0.04	31.81	6.33	4.86	5.23
window_1323	71.46	17.25	21.06	13.74	0.55	34.62	22.99	49.42	41.37
window_1340	7.33	3.1	8.02	1.51	0.03	3.41	3.06	7.5	3.37
window_1353	9.3	4.47	12.86	3.36	0.34	4.66	4.38	18.33	3.67
window_1354	76.32	12.73	39.39	8.43	0.1	17.47	6.14	76.8	12.72
window_1365	0	0	0.02	0	0	0	0	0	0
window_1366	14.08	3.14	13.9	1.64	0.02	2.17	1.34	11.17	1.25
window_1367	48.24	72.57	25.48	104.28	0.21	35.78	45.32	31.76	52.18
window_1368	23.2	11.13	17.44	17.37	1.89	23.39	21.33	24.28	20.15
window_1369	23.2	11.13	17.44	17.37	1.89	23.39	21.33	24.28	20.15
window_1426	11.06	11.26	21.29	5.73	0.4	3.4	5.95	23.97	35.84
window_1438	7.25	6.79	22.85	3.61	0.16	1.01	3.2	21.23	5.52
window_1439	0.02	0	0.02	0	5.34	0.01	35.26	0	1.14
window_1451	0.01	0.31	0.65	1.73	0	0.24	0.31	2.74	0.43
window_1452	0.16	0.21	0.37	0.17	1.66	0	12.23	0	0.7
window_1453	0.16	0.21	0.37	0.17	1.66	0	12.23	0	0.7
window_1454	0.16	0.21	0.37	0.17	1.66	0	12.23	0	0.7
window_1482	6.67	0.48	4.34	0.3	0.03	0.75	0.47	3.89	1.38
window_1484	0.18	0.08	0.28	0	0.14	0.01	0	0.28	0.01
window_1489	5.21	1.74	3.79	2.81	0.64	3.39	6.86	10.6	3.17
window_1490	5.21	1.74	3.79	2.81	0.64	3.39	6.86	10.6	3.17
window_1496	0.17	0.05	0.63	0	0.01	0.52	0.81	12.35	0.08
window_1530	13.78	7.3	21.825	10.34	737.315	30.605	42.07	32.42	17.52
